starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:35:01 2013	1372253701	0	289	289	289
Wed Jun 26 15:34:21 2013	1372253661	0	294	294	294
Wed Jun 26 15:34:36 2013	1372253676	0	295	295	295
Wed Jun 26 15:34:25 2013	1372253665	0	296	296	295
Wed Jun 26 15:34:52 2013	1372253692	0	296	296	296
Wed Jun 26 15:35:32 2013	1372253732	0	297	297	297
Wed Jun 26 15:35:03 2013	1372253703	0	297	297	297
Wed Jun 26 15:34:56 2013	1372253696	0	298	298	298
Wed Jun 26 15:35:08 2013	1372253708	0	298	298	298
Wed Jun 26 15:35:35 2013	1372253735	0	298	298	298
Wed Jun 26 15:34:38 2013	1372253678	0	298	298	298
Wed Jun 26 15:34:59 2013	1372253699	0	298	298	298
Wed Jun 26 15:34:20 2013	1372253660	0	298	298	298
Wed Jun 26 15:34:57 2013	1372253697	0	299	299	298
Wed Jun 26 15:34:37 2013	1372253677	0	299	299	299
Wed Jun 26 15:34:24 2013	1372253664	0	299	299	299
Wed Jun 26 15:34:27 2013	1372253667	0	299	299	299
Wed Jun 26 15:34:52 2013	1372253692	0	299	299	299
Wed Jun 26 15:34:32 2013	1372253672	0	299	299	299
Wed Jun 26 15:34:33 2013	1372253673	0	300	300	300
Wed Jun 26 15:35:01 2013	1372253701	0	300	300	300
Wed Jun 26 15:34:54 2013	1372253694	0	300	300	300
Wed Jun 26 15:34:47 2013	1372253687	0	300	300	300
Wed Jun 26 15:34:23 2013	1372253663	0	300	300	300
Wed Jun 26 15:34:22 2013	1372253662	0	300	300	300
Wed Jun 26 15:35:02 2013	1372253702	0	300	300	300
Wed Jun 26 15:34:26 2013	1372253666	0	300	300	300
Wed Jun 26 15:34:37 2013	1372253677	0	300	300	300
Wed Jun 26 15:34:26 2013	1372253666	0	300	300	300
Wed Jun 26 15:34:23 2013	1372253663	0	300	300	300
Wed Jun 26 15:35:43 2013	1372253743	0	300	300	300
Wed Jun 26 15:34:59 2013	1372253699	0	300	300	300
Wed Jun 26 15:34:38 2013	1372253678	0	300	300	300
Wed Jun 26 15:34:39 2013	1372253679	0	300	300	300
Wed Jun 26 15:34:42 2013	1372253682	0	301	301	301
Wed Jun 26 15:34:59 2013	1372253699	0	301	301	301
Wed Jun 26 15:34:24 2013	1372253664	0	301	301	301
Wed Jun 26 15:34:26 2013	1372253666	0	301	301	301
Wed Jun 26 15:34:28 2013	1372253668	0	301	301	301
Wed Jun 26 15:35:05 2013	1372253705	0	301	301	301
Wed Jun 26 15:34:20 2013	1372253660	0	301	301	301
Wed Jun 26 15:34:41 2013	1372253681	0	301	301	301
Wed Jun 26 15:34:47 2013	1372253687	0	301	301	301
Wed Jun 26 15:34:44 2013	1372253684	0	301	301	301
Wed Jun 26 15:34:28 2013	1372253668	0	301	301	301
Wed Jun 26 15:34:27 2013	1372253667	0	301	301	301
Wed Jun 26 15:34:49 2013	1372253689	0	301	301	301
Wed Jun 26 15:35:05 2013	1372253705	0	302	302	302
Wed Jun 26 15:34:49 2013	1372253689	0	302	302	302
Wed Jun 26 15:35:02 2013	1372253702	0	302	302	302
Wed Jun 26 15:34:37 2013	1372253677	0	302	302	302
Wed Jun 26 15:34:54 2013	1372253694	0	302	302	302
Wed Jun 26 15:35:02 2013	1372253702	0	302	302	302
Wed Jun 26 15:34:20 2013	1372253660	0	302	302	302
Wed Jun 26 15:34:48 2013	1372253688	0	303	303	302
Wed Jun 26 15:35:34 2013	1372253734	0	303	303	303
Wed Jun 26 15:34:29 2013	1372253669	0	303	303	303
Wed Jun 26 15:35:33 2013	1372253733	0	304	304	304
Wed Jun 26 15:34:42 2013	1372253682	0	304	304	304
Wed Jun 26 15:35:00 2013	1372253700	0	304	304	304
Wed Jun 26 15:34:43 2013	1372253683	0	304	304	304
